"Α/Α"	"Κωδικός "	"Περιγραφή"	"Από "	"Σε "	"Κίνηση κλεισίματος εκκρεμοτήτων αποθήκης"	"Ανενεργό"
37	468. ΠΚΛ=>ΠΚΕ	Ακύρωση προσωρινού κλεισίματος Φακέλου (ΕΚΤΟΣ ζώνης € - Αναλυτικά)	ΠΚΛ	ΠΚΕ		0
38	469. ΠΚΔ=>ΠΚΙ	Ακύρωση προσωρινού κλεισίματος Φακέλου (ΤΡΙΤΕΣ Χώρες - Αναλυτικά)	ΠΚΔ	ΠΚΙ		0
3	118. ΠΠΡ=>ΕΝΦ	Εντολή φόρτωσης Παραγγελιών Αγορών	ΠΠΡ	ΕΝΦ	SUPPLIER-ORDER	0
4	119. ΕΝΦ=>ΑΔΠ	Αφιξη Εντολών Φόρτωσης Αγορών	ΕΝΦ	ΑΔΠ	GOODS-LOADING-ORDER	0
4	119. ΕΝΦ=>ΑΤΔ	Αφιξη/Τιμολόγηση Εντολών Φόρτωσης Αγορών	ΕΝΦ	ΑΤΔ	GOODS-LOADING-ORDER	0
5	101. ΠΣΓ=>ΔΕΑ	Δελτίο Επιστροφής από Πρόβλεψη Επιστροφής	ΠΣΓ	ΔΕΑ	SUPPLIER-ORDER RETURN	0
5	101. ΠΣΓ=>ΕΑΠ	Εντολή Αποστολής Αποθήκης από Πρόβλεψη Επιστροφής	ΠΣΓ	ΕΑΠ		0
8	417. ΠΠΡ=>ΠΠΚ	Ακύρωση παραγγελίας αγοράς	ΠΠΡ	ΠΠΚ	SUPPLIER-ORDER-TO-INV	0
0	440. ΔΦΑ=>ΔΡΦ	Οριστικοποίηση Διαφορών Φυσικής Απογραφής Περιόδου	ΔΦΑ	ΔΡΦ		0
1	407. ΦΑΑ=>ΠΦΑ	Πλεονάσματα από Διαφορές Φυσικής Απογραφής Περιόδου	ΦΑΑ	ΠΦΑ		0
2	408. ΦΑΑ=>ΠΦΕ	Πλεονάσματα (αρνητική εξαγωγή) από Διαφορές Φυσικής Απογραφής Περιόδου	ΦΑΑ	ΠΦΕ		0
3	403. ΦΑΑ=>ΕΦΑ	Ελλείμματα από Διαφορές Φυσικής Απογραφής Περιόδου	ΦΑΑ	ΕΦΑ		0
4	400. ΦΑΑ=>ΑΠΔ	Αυτοπαραδόσεις (με προσαρμογή από την Αποτίμηση) από Διαφορές Φ.Α. Περιόδου	ΦΑΑ	ΑΠΔ		0
4	404. ΦΑΑ=>ΑΠΡ	Αυτοπαραδόσεις από Διαφορές Φυσικής Απογραφής Περιόδου	ΦΑΑ	ΑΠΡ		0
5	405. ΦΑΑ=>ΑΠΑ	Αναλώσεις από Διαφορές Φυσικής Απογραφής Περιόδου	ΦΑΑ	ΑΠΑ		0
6	406. ΦΑΑ=>ΠΚΑ	Καταστροφές από Διαφορές Φυσικής Απογραφής Περιόδου	ΦΑΑ	ΠΚΑ		0
7	409. ΦΑΑ=>ΕΦΑ	Ελλείμματα (ΚΑΤΑ Χ-Μ, Lot) από Διαφορές Φυσικής Απογραφής Περιόδου	ΦΑΑ	ΕΦΑ		0
8	410. ΦΑΑ=>ΠΦΕ	Πλεονάσματα (ΚΑΤΑ Χ-Μ, Lot) από Διαφορές Φυσικής Απογραφής Περιόδου	ΦΑΑ	ΠΦΕ		0
9	411. ΦΑΗ=>ΠΦΕ	Πλεονάσματα (αρνητική εξαγωγή) από Διαφορές Φυσικής Απογραφής Ημέρας	ΦΑΗ	ΠΦΕ		0
10	412. ΦΑΗ=>ΕΦΑ	Ελλείμματα από Διαφορές Φυσικής Απογραφής Ημέρας	ΦΑΗ	ΕΦΑ		0
2	441. ΕΝΤ=>ΔΠΕ	Δελτίο Παραγωγής-Ανάλωσης από Εντολή Παραγωγής	ΕΝΤ	ΔΠΕ	PRODUCTION-ORDER	0
2	445. ΕΝΤ=>ΕΠΚ	Δελτίο Παραγωγής από Εντολή Παραγωγής	ΕΝΤ	ΕΠΚ	PRODUCTION-ORDER	0
2	445.Η. ΕΝΤ.Η=>ΕΠΚ.Η	Δελτίο Παραγωγής (Ημιέτοιμο) από Εντολή Παραγωγής (Ημιέτοιμο)	ΕΝΤ.Η	ΕΠΚ.Η	PRODUCTION-ORDER	0
2	445Ε. ΕΝΤ.Ε=>ΕΠΚ.Ε	Δελτίο Παραγωγής (Ετοίμου) από Εντολή Παραγωγής (Ετοίμου)	ΕΝΤ.Ε	ΕΠΚ.Ε	PRODUCTION-ORDER	0
2	446. ΕΝΤ=>ΕΝΚ	Ακύρωση Εντολής παραγωγής	ΕΝΤ	ΕΝΚ	PRODUCTION-ORDER	0
3	435. ΕΝΤ=>ΔΠΑ	Δελτίο Παραγωγής-Ανάλωσης από Εντολή Παραγωγής	ΕΝΤ	ΔΠΑ	PRODUCTION-ORDER	0
